Location,Message,Name,City,Country
"Melbourne, Australia",Can I please follow you guys on twitter?,Katina,Melbourne, Australia
"Melbourne, Australia",Add me on Facebook...,Andrew,Melbourne, Australia
"Melbourne, Australia","... I think this is the beginning of a beautiful friendship. 
P.S- Go Pies",Goce,Melbourne, Australia
"Sydney, Australia","Hello from Earth, if you follow this message back to us please don't invade our little planet. If you do invade our planet it would make me sad =[",Chris,Sydney, Australia
"Melbourne, Australia","Hey there cool being somewhere in the cosmos, hope u receive this message, would luv to hear all about ure world.",Debbie,Melbourne, Australia
"Melbourne, Australia","if you're reading this, you're far too close to our planet.",Rick Jones,Melbourne, Australia
"Melbourne, Australia","From Ben & Priscilla Peace Pax Mir Paix Frieden Fred Paz Pace Mip Vrede Damai Paco Pau Maluhia Amani Klid Rauha Wazzup
Ειρήνη Paqe Barış Ukuthula Paco",Ben&Priscilla;,Melbourne, Australia
"sandringham, Australia","Hi, i'm Taylor i'm 15, i was always hoping that in my life time i will have a friend from another planets. hope you get my message, wating for your reply!!",Taylor,sandringham, Australia
"Melbourne, Australia","Greetings! Please join me for a cup of tea at my home, I would love to get to know more about you.",Alex,Melbourne, Australia
"Melbourne, Australia","Hi, I'm pretty sure you don't speak any earth languages, but we R happy to learn yours. Meanwhile body language is the way, so lets see who zooms who first, cya",Em,Melbourne, Australia
"Melbourne, Australia","Hi hi, my housemate has given up on all males on our planet. If you have half a brain and something to prod her with, she'll be pleased to meet you. Toodles, D.",Darren,Melbourne, Australia
"Melbourne, Australia","Hello fellow citizens of space. We once thought we were alone but now it's good to know that we have a friend and companion in you. with love, from earth",Sue Z,Melbourne, Australia
"Sydney, Australia, Australia",Please show our primitive world that other life forms do exist. Show us how to rid ourselves of arrogance & hatred for a peaceful co-existence on our planet!,Elissa,"Sydney, Australia", Australia
"Hartford, United States","Hello,I from the planet Sol 3 or more commonly known,Earth.I hope you can decypher this transmission and respond in a way we can understand.We await it with joy",Matt,Hartford, United States
"Adelaide, Australia","u guys dont have paramore on your planet.
thats pretty sad. 
i wish i could send u one of their cds. but i cant. oh well :)",jon,Adelaide, Australia
"Ingleburn, Australia",I am waiting patiently for your return. Its been too long since our last meeting. Come and get me as I have gathered all the intellegence you requested to me.,Bob2,Ingleburn, Australia
"Sydney, Australia",G'day from down under on Earth. Some of us believe we are alone in the universe. Gliese 581d can you prove us wrong? Look forward to your reply. Peace out.,Shane,Sydney, Australia
"Damascus, Syrian Arab Rep","Hey from Michael
We hope to know each other and to be brothers & sisters who live in this fantastic universe in peace and love.",Michael,Damascus, Syrian Arab Rep
"Sydney, Australia","Hi, pretty cool, it would be great to meet you one day. Hope things are peacefull and happy where you are.",Shona,Sydney, Australia
"cairo, Australia","Hellllllllloooooooo guyssssssssss, Eagypt Earth is saying Hiiiiiiii, wana see you and invite you here.
Reply if you can people.  :)",Ragui Abdel-Malek,cairo, Australia
"Brisbane, Australia",Good evening. I'd just like to assure you that there is intelligent life on Earth. But I'm just visiting...,Amethyst71,Brisbane, Australia
"adelaide, Australia",This Text Message From The Planet Earth It Means We Have Life Here By The Way You Aliens Probably Have No Clue What We Are Trying To Tell You So Good Luck :),tom,adelaide, Australia
"Melbourne, Australia",I just want you to know that there is no lonelier place than earth. Do not become like us;do not live in a state of naive arrogance like we do.,Eleff,Melbourne, Australia
"sydney, Australia","Dear Aliens,
I hope you speak english. Please bring us chocolate and peppermint tea. Love, Earthlings.",hunt,sydney, Australia
"Roma, Italy","Hi I think you could understand my Italian language too,but they ask me to use only English. MY DEAR ALIENS COME ON THE EARTH SOON, WE NEED YOU TO STOP OUR CAOS",RICCARDO,Roma, Italy
"Doonside, Australia",MY AIM OF CONTACTING YOU IS TO SEEK YOUR ASSISTANCE IN TRANSFERRING THE SUM OF THIRTY FIVE MILLION U.S.DOLLARS OUT OF NIGERIA AND INTO YOUR TRUSTED BANK ABROAD.,Dave,Doonside, Australia
"Kew, Australia","The shapes(0,0),(cos72,sin72),(cos72+1,sin72),(1,0) and (0,0),(cos36,sin36),(cos36+1,sin36),(1,0) fit together in a unique and complex way:just like ourselves.",Nick Rutherford,Kew, Australia
"Alexandria, Egypt","Hello Sister Planet, today we send you a Message from Earth. hope to establish communication with you ASAP",Moatassem,Alexandria, Egypt
"Melbourne, Australia",I will be due to retire in 2049 so therefore please let me know if your planet is nice as I amfairly confident this one will be stuffed by then.,Jack,Melbourne, Australia
"Melbourne, Australia","Greetings fellow lifeforms. G'day Doctor if you're out there in your TARDIS. Well from a human female I say come and visit Earth, its getting pretty boring.",Amelia,Melbourne, Australia
"Melbourne, Australia",144025036146,Lin,Melbourne, Australia
"Milford, United States","What is the answer to life, the universe, and everything?",Jacob,Milford, United States
"Port Wakefield, Australia","I like turtles! turtles are the best animal on the planet earth. yeah yeah! one day we will send you a turtle, just for the fun of it. peace out!",Brad Stub,Port Wakefield, Australia
"Melbourne, Australia","Hello from the planet Earth. I hope your planet is vibrant, diverse and that you enjoy living there, as I enjoy living on Earth. Live long and prosper.",Rhydian Cowley,Melbourne, Australia
"Sydney, Australia",Can you please come over and see my dad with me just so i can prove to him once and for all there is someone else out there? Can't wait to meet you!,Michelle,Sydney, Australia
"Sydney, Australia",Do you guys scrunch or fold?,Vignesh,Sydney, Australia
"Broadmeadows, Australia",Do aliens strut ?,Polly,Broadmeadows, Australia
"Sydney, Australia","Gardenias, radiohead, portuguese water dogs, fabulous BBC programs, red wine, steak-frites and sticky date pudding...all good reasons to visit.",Kylie,Sydney, Australia
"Sydney, Australia","Hello, I hope you find my message in tact, I wish to extend to you a message of kinship. We are brothers and sisters, may we meet one day in the near future. HS",Hayden Streater,Sydney, Australia
"Sydney, Australia","Hello there, will you share your technology with us in exchange for us invading your territory?",Albert,Sydney, Australia
"Melbourne, Australia","Dear Galactic Mates,
Is the meaning of life, the universe and Everything really 42? If not, do you have any pointers for us? 
Cheers.",Tobias,Melbourne, Australia
"Sydney, Australia","Hey mates! 
hope your having fun... 
call me:) 
Cheers! x",Liam,Sydney, Australia
"vic, Australia",hehe hello aliens!!!,crly,vic, Australia
"Derrimut, Australia",Greetings from Melbourne - the best part of Southern Hemisphere. We've got heaps of nice foods for you to taste. So come on down!,Derrimut Dragons,Derrimut, Australia
"sydney mosman, Australia","dear outter space people
i hope you come to our plant for peace and goto luna park and go on the rides and come say hello to me. love annabelle from sydney :)",annabelle harper,sydney mosman, Australia
"melbourne, Australia",greeting beings from another world if your reading this peace be with you.,lewis gorham,melbourne, Australia
"Covington, Australia","HI, hope you have some way of receiving this, would be nice to get a reply, it's so boring being the only known planet with life, great planet btw.

LOVE",Zack,Covington, Australia
"Canberra, Australia","We are all stardust, yes?",Lily Hart Coleman,Canberra, Australia
"Melbourne, Australia",Hey hows it going speak to you in 40 years,Jim,Melbourne, Australia
"Cairns, Australia","We fear what we do not understand, just keep that in mind. Love and Respect.",Luca,Cairns, Australia
"Melbourne, Australia","Sup aliens? howz it up there??? 
come visit anytime you want!!! XD",Azza,Melbourne, Australia
"Sydney, Australia",Knock knock...,Sam Nesbitt,Sydney, Australia
"Milan, Italy","Hello Glieseer, hope you already invented cell phones, so you can read my sms! See You Soon!!!",Stefano,Milan, Italy
"Somewhere, Sweden","42 is the answer to life, the universe and everything!",Martin,Somewhere, Sweden
"Merano, Australia","My name is Sergio,in 40 years I ll be still alive to see your answer.your system is as old as our so you must be there. Please send pictures. Love Sergio Elia",Sergio,Merano, Australia
"warrnambool, Australia","Dear Aliens, if you are going to select a group of humans to show around your planet or to breed with your alien women I volunteer. Thankyou.",sam,warrnambool, Australia
"Brisbane, Australia","We dream, we aspire, we seek and we believe in the promise of the future. May you be the answer to our questions. May you be what lies beyond. With love Brizzy",Jacob,Brisbane, Australia
"Melbourne, Australia",Just letting you know for the record (when you get this) that Melbourne is better than Sydney.  That is all.,Jack Moringtinstein,Melbourne, Australia
"Melbourne, Australia","Hi. We've been looking up at you for many years, I hope you don't think it's rude of us to stare. If it's not too bold, can we give you our number?",Robert,Melbourne, Australia
"REMAGEN, Australia",Wherever you are say Hello will meet each other oneday God is one craete me and creat you will gather us  till that time that you recive my letter I say bye  .,Karma,REMAGEN, Australia
"Canberra, Australia",G'day Gliesans please help us answer our place in life.  All those on Earth would love to know you exist - With admiration and wonder from Earth.,Tom,Canberra, Australia
"Trieste, Italy",Do you do couch surfing on Gliese? I'm always looking for a cheap place to stay. You're welcome to crash at my place whenever you like!,Riccardo,Trieste, Italy
"Madrid, Spain",Avoid to visit this planet.Full of waste and careless with environment.Lot of people are adorable but millions are really mad.Sending us 20yrs sms will be safer,Pablo,Madrid, Spain
"Melbourne, Australia",I want to know if your planet has successfully found the answer to sustained happiness? I think it is an secret I wish I will know before I leave Earth!,Stephanie,Melbourne, Australia
"Venice, Australia","Hello from Venice (Italy) I'm Matteo, Lello for my friends and now for my spacefriends!. You are not alone in the Universe, I hope to meet you soon...bye",Matteo Scantamburlo,Venice, Australia
"Warrnambool, Australia",Hello from Earth. the ability to receive this message will be amazing. We have alwyas wondered if we are alone in the universe. your existance could confirm it.,Laura,Warrnambool, Australia
"Berwick, Australia","Hey fellow beings. When are you coming to earth for a visit?
What's the weather like on your planet? Can you travel faster than light?",Martin,Berwick, Australia
"Sydney, Australia",The people of earth send greetings to 581d and offer to join your glorious war against the bug eyed monsters.,Allan,Sydney, Australia
"Sydney, Australia",hello out there! we send you our love! come visit us soon.,Diana,Sydney, Australia
"Sydney, Australia","Hello this is Brian!

Nice to meet you beings of the outer space!!",Brian,Sydney, Australia
"Melbourne, Australia","greetings from Geoff & Pam in Oak Park, Victoria, Australia...Live long & prosper!",Geoff Brown,Melbourne, Australia
"Melbourne, Australia",Any sexy girls out there?,Mystro,Melbourne, Australia
"Paradise, United States","Dif-tor heh smusma - Live Long and Prosper.
Greetings and love from Earth.",Krista,Paradise, United States
"Melbourne, Australia","Dear Star! I wish to share with you the love and all the joy, the smell of the roses in a dusk and a smile of the sunflower.",Rex,Melbourne, Australia
"Giarre (CT), Italy",Lat 37.718506 Lng 15.191396 potete trovarmi qui :),Angelo Seria,Giarre (CT), Italy
"Sydney, Australia","There is a world not far away called Earth. Many people live there. I am one of them. I wish to express my greetings, hoping one day we will hear from you.",Azzam,Sydney, Australia
"Santa Rosa, Philippines",I really hope you still find something here when you get this message and visit.,Mike,Santa Rosa, Philippines
"Maitland, Australia","When visiting Earth, please don't confuse cars with people. It's the people waiting at the BBQ for you to show up that sent these messages, not metal things.",Mitchell,Maitland, Australia
"BayArea, CA, United States",Hello people from outer space. We give you our friendliest greetings! Can you help us? Are all our lost dryer socks there? We have looked EVERYWHERE down here.,Paul Seauvan,"BayArea, CA", United States
"melbourne, Australia","HELP
AYUDA
AUXILIOOOOO",MARCO,melbourne, Australia
"Melbourne, Australia","G'day people from planet Gliese 581D. Whats happening at your planet? I hpoe to get a message back from you in 2049!
see you soon",Ariel G,Melbourne, Australia
"brescia, Italy",Help! Help! Help! Help! Help! Help! Help! Help! we're killing our planet. Please save this stupid monkeys that we are.,pablo,brescia, Italy
"Edgeworth  Newcastle, Australia",Hi There hopefully you will receive this message. Is there anybody out there ?,Paoletti  Family,Edgeworth  Newcastle, Australia
"Melbourne, Australia","For all your plumbing and building needs, Ken J Frost Plumbing pty. ltd. We'll crack it.
This message comes from the third rock from the sun.",Ken Frost,Melbourne, Australia
"Rome, Italy","Help from the planet earth, we need you to save our planet, our rulers do not make them.",Emanuele,Rome, Italy
"Belfast, United Kingdom","Maybe one day we will communicate, I hope that you may reply to our messages?",Rebekka,Belfast, United Kingdom
"Toronto, Canada","Mabel, have you seen my sock? They went in the wash as a pair, and now I can only find one of them.",El Sargento,Toronto, Canada
"Rugby, United Kingdom",If anyone is out there please hear our call for friendship. We want only peace with you. We hope to see you soon! Live long and prosper. We love you so much! :),Stefan Vassalos,Rugby, United Kingdom
"Greenvalley, Australia","Hello ! My Name is Jaymee, hope you will come to earth one day and we can meet. i am 9 years old, but when you get this not i will be 29, so drop in for a coke",Jaymee Loader,Greenvalley, Australia
"Melbourne, Australia","Hello,looking forward to finding out if music truly is a universal language,Matt.",matt,Melbourne, Australia
"catania, Australia","Unless, aliens, are an Italian girl, the italy is a country on the planet earth!I have 32 years when I receive your answer!",noemi,catania, Australia
"Kooralbyn, Australia","hello, are yous all on your planet transformers? if so could you please come to planet earth and take me back with you il see you in 2029",will,Kooralbyn, Australia
"Sydney, Australia",what are your tax rates,Lucy,Sydney, Australia
"Sydney, Australia","Hey hey peeps. Why don't you all come visit, your all welcome. Hopefully ill still be alive in 40 years. see you soon",Vick,Sydney, Australia
"Sydney, Australia","Hi there, 
just wondering will you have the same answer as us for the following question:
1+1 = ???",Victor,Sydney, Australia
"Toronto, Australia","Our coordinates from Galactic centre are: longitude 179 56' 39.4"", latitude +0 2' 46.2"", distance 7,940 +/- 420 parsecs (25,900 +- 1,400 light years)",Kevin Bonnici,Toronto, Australia
"Melbourne, Australia",Do you guys play cricket? We could use some real opposition.,minalouche,Melbourne, Australia
"Sydney, Australia",Hi ya - please announce your presence as our politicians need more things to scare monger about now the economy is picking up and Osama hasn't done much lately.,Gusto,Sydney, Australia
"Secret Harbour, Australia","Hello, if there is life out there, I would so like to meet you.  Could we please make friends and share our technology.",Joshua Allengame,Secret Harbour, Australia
"Melbourne, Australia",Learn from our mistakes.,Nebojsa Pajkic,Melbourne, Australia
"Brisbane, Australia","With awe I stare up at the stars and ponder whether you’re looking back at me. If you get this message, wave up at the sky. I promise I’ll wave back.",Jessica McMeniman,Brisbane, Australia
"Sydney, Australia","Dear aliens, if you could be a Spice Girl, which one would you be, and why?",Graham Price,Sydney, Australia
"Sydney, Australia","wherever you are, whenever you are - i hope that you find love. it is the most beautiful thing on earth, and probably anywhere else.",Louis,Sydney, Australia
"Stoney Stanton, United Kingdom","G'day
Is there a resturant there if so can I make a resevation for two in 2030.Thanks Brian & Val",brian sanderson,Stoney Stanton, United Kingdom
"Bologna, Italy","Hello from Italy!	
Peace and hope for a prosperous future for our civilization.",Alessandro,Bologna, Italy
"Perth, Australia","I can't get a girlfirned -- if there are are any cute chicks -- or just females -- give me a call 
Karl",Karl,Perth, Australia
"Sydney, Australia","Hello. This is Shayan from Earth, I wanted to ask Do you believe on Day of judgment ??",Shayan,Sydney, Australia
"Melbourne, Australia",Can I please follow you guys on twitter?,Katina,Melbourne, Australia
"Melbourne, Australia",Add me on Facebook...,Andrew,Melbourne, Australia
"Melbourne, Australia","... I think this is the beginning of a beautiful friendship. 
P.S- Go Pies",Goce,Melbourne, Australia
"Sydney, Australia","Hello from Earth, if you follow this message back to us please don't invade our little planet. If you do invade our planet it would make me sad =[",Chris,Sydney, Australia
"Melbourne, Australia","Hey there cool being somewhere in the cosmos, hope u receive this message, would luv to hear all about ure world.",Debbie,Melbourne, Australia
"Melbourne, Australia","if you're reading this, you're far too close to our planet.",Rick Jones,Melbourne, Australia
"Melbourne, Australia","From Ben & Priscilla Peace Pax Mir Paix Frieden Fred Paz Pace Mip Vrede Damai Paco Pau Maluhia Amani Klid Rauha Wazzup
Ειρήνη Paqe Barış Ukuthula Paco",Ben&Priscilla;,Melbourne, Australia
"sandringham, Australia","Hi, i'm Taylor i'm 15, i was always hoping that in my life time i will have a friend from another planets. hope you get my message, wating for your reply!!",Taylor,sandringham, Australia
"Melbourne, Australia","Greetings! Please join me for a cup of tea at my home, I would love to get to know more about you.",Alex,Melbourne, Australia
"Melbourne, Australia","Hi, I'm pretty sure you don't speak any earth languages, but we R happy to learn yours. Meanwhile body language is the way, so lets see who zooms who first, cya",Em,Melbourne, Australia
"Melbourne, Australia","Hi hi, my housemate has given up on all males on our planet. If you have half a brain and something to prod her with, she'll be pleased to meet you. Toodles, D.",Darren,Melbourne, Australia
"Melbourne, Australia","Hello fellow citizens of space. We once thought we were alone but now it's good to know that we have a friend and companion in you. with love, from earth",Sue Z,Melbourne, Australia
"Sydney, Australia, Australia",Please show our primitive world that other life forms do exist. Show us how to rid ourselves of arrogance & hatred for a peaceful co-existence on our planet!,Elissa,"Sydney, Australia", Australia
"Hartford, United States","Hello,I from the planet Sol 3 or more commonly known,Earth.I hope you can decypher this transmission and respond in a way we can understand.We await it with joy",Matt,Hartford, United States
"Adelaide, Australia","u guys dont have paramore on your planet.
thats pretty sad. 
i wish i could send u one of their cds. but i cant. oh well :)",jon,Adelaide, Australia
"Ingleburn, Australia",I am waiting patiently for your return. Its been too long since our last meeting. Come and get me as I have gathered all the intellegence you requested to me.,Bob2,Ingleburn, Australia
"Sydney, Australia",G'day from down under on Earth. Some of us believe we are alone in the universe. Gliese 581d can you prove us wrong? Look forward to your reply. Peace out.,Shane,Sydney, Australia
"Damascus, Syria","Hey from Michael
We hope to know each other and to be brothers & sisters who live in this fantastic universe in peace and love.",Michael,Damascus, Syria
"Sydney, Australia","Hi, pretty cool, it would be great to meet you one day. Hope things are peacefull and happy where you are.",Shona,Sydney, Australia
"cairo, Australia","Hellllllllloooooooo guyssssssssss, Eagypt Earth is saying Hiiiiiiii, wana see you and invite you here.
Reply if you can people.  :)",Ragui Abdel-Malek,cairo, Australia
"Brisbane, Australia",Good evening. I'd just like to assure you that there is intelligent life on Earth. But I'm just visiting...,Amethyst71,Brisbane, Australia
"adelaide, Australia",This Text Message From The Planet Earth It Means We Have Life Here By The Way You Aliens Probably Have No Clue What We Are Trying To Tell You So Good Luck :),tom,adelaide, Australia
"Melbourne, Australia",I just want you to know that there is no lonelier place than earth. Do not become like us;do not live in a state of naive arrogance like we do.,Eleff,Melbourne, Australia
"sydney, Australia","Dear Aliens,
I hope you speak english. Please bring us chocolate and peppermint tea. Love, Earthlings.",hunt,sydney, Australia
"Roma, Italy","Hi I think you could understand my Italian language too,but they ask me to use only English. MY DEAR ALIENS COME ON THE EARTH SOON, WE NEED YOU TO STOP OUR CAOS",RICCARDO,Roma, Italy
"Doonside, Australia",MY AIM OF CONTACTING YOU IS TO SEEK YOUR ASSISTANCE IN TRANSFERRING THE SUM OF THIRTY FIVE MILLION U.S.DOLLARS OUT OF NIGERIA AND INTO YOUR TRUSTED BANK ABROAD.,Dave,Doonside, Australia
"Kew, Australia","The shapes(0,0),(cos72,sin72),(cos72+1,sin72),(1,0) and (0,0),(cos36,sin36),(cos36+1,sin36),(1,0) fit together in a unique and complex way:just like ourselves.",Nick Rutherford,Kew, Australia
"Alexandria, Egypt","Hello Sister Planet, today we send you a Message from Earth. hope to establish communication with you ASAP",Moatassem,Alexandria, Egypt
"Melbourne, Australia",I will be due to retire in 2049 so therefore please let me know if your planet is nice as I amfairly confident this one will be stuffed by then.,Jack,Melbourne, Australia
"Melbourne, Australia","Greetings fellow lifeforms. G'day Doctor if you're out there in your TARDIS. Well from a human female I say come and visit Earth, its getting pretty boring.",Amelia,Melbourne, Australia
"Melbourne, Australia",144025036146,Lin,Melbourne, Australia
"Milford, United States","What is the answer to life, the universe, and everything?",Jacob,Milford, United States
"Port Wakefield, Australia","I like turtles! turtles are the best animal on the planet earth. yeah yeah! one day we will send you a turtle, just for the fun of it. peace out!",Brad Stub,Port Wakefield, Australia
"Melbourne, Australia","Hello from the planet Earth. I hope your planet is vibrant, diverse and that you enjoy living there, as I enjoy living on Earth. Live long and prosper.",Rhydian Cowley,Melbourne, Australia
"Sydney, Australia",Can you please come over and see my dad with me just so i can prove to him once and for all there is someone else out there? Can't wait to meet you!,Michelle,Sydney, Australia
"Sydney, Australia",Do you guys scrunch or fold?,Vignesh,Sydney, Australia
"Broadmeadows, Australia",Do aliens strut ?,Polly,Broadmeadows, Australia
"Sydney, Australia","Gardenias, radiohead, portuguese water dogs, fabulous BBC programs, red wine, steak-frites and sticky date pudding...all good reasons to visit.",Kylie,Sydney, Australia
"Sydney, Australia","Hello, I hope you find my message in tact, I wish to extend to you a message of kinship. We are brothers and sisters, may we meet one day in the near future. HS",Hayden Streater,Sydney, Australia
"Sydney, Australia","Hello there, will you share your technology with us in exchange for us invading your territory?",Albert,Sydney, Australia
"Melbourne, Australia","Dear Galactic Mates,
Is the meaning of life, the universe and Everything really 42? If not, do you have any pointers for us? 
Cheers.",Tobias,Melbourne, Australia
"Derrimut, Australia",Greetings from Melbourne - the best part of Southern Hemisphere. We've got heaps of nice foods for you to taste. So come on down!,Derrimut Dragons,Derrimut, Australia
"sydney mosman, Australia","dear outter space people
i hope you come to our plant for peace and goto luna park and go on the rides and come say hello to me. love annabelle from sydney :)",annabelle harper,sydney mosman, Australia
"melbourne, Australia",greeting beings from another world if your reading this peace be with you.,lewis gorham,melbourne, Australia
"Covington, Australia","HI, hope you have some way of receiving this, would be nice to get a reply, it's so boring being the only known planet with life, great planet btw.

LOVE",Zack,Covington, Australia
"Canberra, Australia","We are all stardust, yes?",Lily Hart Coleman,Canberra, Australia
"Barcelona, Spain","Well, hello there CE!",_CARLOX_,Barcelona, Spain
"Sydney, Australia","Hi Aliens, Well maybe we're aliens to you.What colour are you guys? What do you you breath?What are some cool features on or in yor body?Peace out, from earth",Tushaar Garg,Sydney, Australia
"Melbourne, Australia",HELLO FROM EARTH! I've always wondered if there is life out in space. You probably don't speak any Earth languages but I hope you receive this message.,Irene,Melbourne, Australia
"melbourne, Australia","NI HAO!Greeting from Minxi Yu now in Melbourne,Australia,date:12-08-2009.We'd love to be your freinds and share our knowledge. Hope to hear from u soon! cheers.",Macey Yu,melbourne, Australia
"Melbourne, Australia","Hello from Earth, we call your planet Gliese 581d, and we call ours Earth. What do you call them?",James McMahon,Melbourne, Australia
"Sydney, Australia",can you guys travel back in time? if so can you invade the earth at approximately 11.50 am 13.08.2009? i have a science test...,THUD,Sydney, Australia
"Glasgow, United Kingdom","Please don't create any problems,we have enough of our own thank you. I hope this will be the start of a new life for everyone here on earth.Come over whenever.",Barbara Simpson,Glasgow, United Kingdom
"Sudbury, Canada","Hello Glieseians, Just so you know there is no point in worshiping a god. That fact alone should save your world 2000 years of warfare AT LEAST!!",Kevin Cyr,Sudbury, Canada
"Umeå, Sweden",Do you have stairs in your house?,Pusher Robot,Umeå, Sweden
"Sydney, Australia","Hello friends,
I hope you are able to experience such emotion called love.
We humans believe that love is the answer.",Jenita,Sydney, Australia
"Melbourne, Australia",It is good to know that there is planet like earth. Love you form earth. Abhijeet.,Abhijeet,Melbourne, Australia
"melbourne, Australia",Dear people from other planet.I hope that one day you will visit earth and see how lovely and beautiful we and the land are. Lots of love Justine,justine,melbourne, Australia
"Como, Italy",Hi everyone! Here it' s the Earth. How are you? I hope we can meet together early!,Luca Fucci,Como, Italy
"Melbourne, Australia",E.T Phone home!,Vera,Melbourne, Australia
"Melbourne, Australia","Hello from Yong & Fan: Thanks to Earth, we have life; Thanks to Life, we have Love. Together, we never alone.",Yong & Fan,Melbourne, Australia
"QLD, Brisbane, Australia","Hi,

Whats the weather like? What Food do you eat? Do you play music? I hope to hear from you soon so we can explore our diffrences and become friends!

Tim",Tim,"QLD, Brisbane", Australia
"Sydney, Australia","Hi, if you have any spare time and a decent space craft, I'd love a little trip around the galaxy. Although I don't want to come back younger than everyone else",Cody Horgan,Sydney, Australia
"melbourne, Australia",LMAO-LOL-JKZ-BRB-KAGFACE-TTYL-ROFL-ROFLCOPTER- EARTH GIRLS SUCK. MARS GIRLS ARE EASY. FLY ME TO THE MOON.,tom,melbourne, Australia
"Kilmore, Australia",Send Fresh Water and Food. Earths idiot leaders have destroyed our planet through self indulgence. Dont make our mistakes. Please help.,Charles,Kilmore, Australia
"Sydney, Australia","Hi to whoever is out there, I hope to see you soon, in the next week preferably, at least then I'll know you've invented time travel too.",Josh,Sydney, Australia
"Melbourne, Australia","We are alive and intelligent, try contact us on earth. And we will strive to develop technology to allow us to meet, but we want to know are you out there?",Vaughn Kwong,Melbourne, Australia
"Melbourne, Australia",Dear inhabitants of Gliese 581d. We have some cookies that we would like to share with you. Please reply a with a delivery address so we can send them to you.,Robert Cowley,Melbourne, Australia
"Hollywood, Australia","Please don't kill us because of a bunch of stupid people. Don't come here by the way, it's not that great.",Alex,Hollywood, Australia
"Melbourne, Australia",Binary code: 0100100001100101011011000110110001101111,BinaryCode,Melbourne, Australia
"melbourne, Australia","hey contact us! then invite us to live on your planet so we can stuff yours up aswell :D

dont worry we will bring doughnuts",lachy,melbourne, Australia
"darwin, Australia","If you come to visit our planet,  please pop into say hi to Des Dwyer of Nelsons Plains. He has been watching the planets for 83 years and will make you welcome",catherine stedman,darwin, Australia
"Manchester, Australia","~in omnibus requiem quaesivi, et nusquam inveni nisi in angulo cum libro~
We have some wonderful literature on this planet, stop by sometime and check it out!",Jim Backhouse,Manchester, Australia
"shandong , Australia",hi welcome to our planet if you are friends. hope i am still alive when you are here.could you help me to tell Hedi I loved him.,lily,shandong , Australia
"Texas, United States",Please save us from the massive conspiracy that is soon to enslave the entire human population and their minds.,Dale Gribble,Texas, United States
"Melbourne, Australia","Hi,is so cool to know you exist. How many people are living in your planet? Hope to know the answer when i turn 44!Best of luck in re-discovering the universe.",kathz,Melbourne, Australia
"Como, Italy",Hi aliens! Nice to meet you! :D,Andrea,Como, Italy
"Adelaide, Australia","Twinkle, twinkle little planet. How I wonder how you'll decode this?",Michael Gauci,Adelaide, Australia
"Sydney, Australia","Hi There,
We live in Earth and would love to visit your planet one day. Hopefully we could travel in space quick enough to meet & greet each other by 2029",Gary,Sydney, Australia
"Sydney, Australia",HELLO =D YOUR INVITED TO JOIN US IN A BEER AND BBQ,Philip,Sydney, Australia
"Pittsburgh, United States","Do you beings wonder if there are others like yourselves somewhere in the universe?  I hope so, because we certainly do.",Sean,Pittsburgh, United States
"Melbourne, Australia",There's life here but not as you know it. Recommend you set your phasors to stun before you beam down to Earth.,Peter,Melbourne, Australia
"Geelong, Australia","Hello Aliens! How are yo?, whats the weather like on youe planet, because I sure could do with a good holiday. Happy space travells from Miranda, ken and Morgan",Miranda,Geelong, Australia
"Melbourne, Australia",Greetings from Omer and Nashat. Come down under and visit us!,nashat,Melbourne, Australia
"sydney, Australia","Peace, If you are there, we are overjoyed. If you are advanced, we are part of this universe too and part of this life puzzle. so peace. 1+1=2, 2+1=3, 3+1=4",Atif,sydney, Australia
"Sydney, Australia","An American monkey, after getting drunk on brandy, would never touch it again, and thus is much wiser than most men.-Charles Darwin",Dale Thompson,Sydney, Australia
"Melbourne, Australia","Please, just let us know we are not alone!",Garry,Melbourne, Australia
"Sydney, Australia","Desperate single male earthling seek alien female. Antenna and tentacle ok, green ok, purple no. Must not have voracious appetite for the male species. Thanks.",Robert,Sydney, Australia
"Kensington, Australia","I wrote my message in Italian, but was refused. So here is the new one...... @#$%^&&&**....Ciao!!!",vittorio,Kensington, Australia
"Tilburg, Netherlands",Do you guys use Twitter?,Michael van Poppel,Tilburg, Netherlands
"New York City, United States","Not all humans are scared of alien life, and not all are violent. Life on earth can benefit from another perspective, and we need one.",Grape Johnson,New York City, United States
"Sydney, Australia",GreetingsInhabitantsOfWhatWeEarthlingsCallPlanetGLIESE581DWeComeInPeaceButBackHomeWeHaveAFinancialCrisisCanYouHelpUsOutPlease,Chaitanya Kolluri,Sydney, Australia
"nsw, Australia","hellooo, we all know your on earth, just show yourself already.",Hipoo Man,nsw, Australia
"Melbourne, Australia","Dear interplanetary life forms,
we hope that life in your world is as diverse as that on earth.",Ai Lin,Melbourne, Australia
"Macarthur, Australia","From a member of Earth. I hope to meet some of your inhabitants soon. We are a peaceful species, and offer love. God bless, love long and prosper Gliese 581D",Mike,Macarthur, Australia
"Melbourne, Australia",Hi there! I want to be your friend from Earth,Stella,Melbourne, Australia
"Milano, Italy","Alessandro and Maria Grazia send to you this message of love from Earth. Whoever, wherever, anyhow you are, we will call you brothers",Alessandro,Milano, Italy
